Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guam,GUM,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guatemala,GTM,6.00602007,6.07008219,6.13563824,6.10662699,6.17457819,6.46693325,6.9008255
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea,GIN,5.80919266,5.39694929,3.91512918,3.73843002,4.08876228,3.876436,3.75556707
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guinea-Bissau,GNB,8.13228226,8.32881451,7.00049543,7.28130722,7.16052532,9.02139282,8.2233429
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Guyana,GUY,4.02264786,4.01842117,4.3191123,4.90492535,4.90331507,5.50584173,4.94385052
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Haiti,HTI,5.07518148,4.80760574,3.8199389,4.31650305,3.91107917,3.22171092,3.47919273
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Heavily indebted poor countries (HIPC),HPC,4.98650742,4.925651605,4.796669211,4.648387283,4.742641532,4.929467679,4.934533505
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,High income,HIC,12.05485743,12.2327917,12.14957868,12.06366123,12.26948154,13.7364223,13.12805548
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Honduras,HND,7.4837904,7.709445,7.00668859,7.22820663,7.30497599,9.03509808,9.16101742
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Hong Kong SAR, China",HKG,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Hungary,HUN,6.85,6.99,6.74,6.58,6.28,7.29,7.38
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IBRD only,IBD,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Iceland,ISL,8.07,8.1,8.26,8.38,8.58,9.61,9.73
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA & IBRD total,IBT,5.282948325,5.304503095,5.322328494,5.269964371,5.338522708,5.688167907,5.616001412
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA blend,IDB,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA only,IDX,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,IDA total,IDA,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,India,IND,3.6,3.5,2.94,2.86,2.95,3.34,3.28
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,2.92428517,3.02147198,2.90417194,2.86757827,2.87862897,3.42067289,3.70636249
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Iran, Islamic Rep.",IRN,7.53311825,7.99202633,7.83454609,7.73915195,6.27398872,5.40149546,5.77013779
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Iraq,IRQ,3.15587044,4.58949184,4.04064989,4.12989378,4.25509405,6.17485046,5.24727583
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Ireland,IRL,7.33597517,7.46859169,7.12621927,6.49550152,6.7090106,7.1091466,6.71662664
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Isle of Man,IMN,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Israel,ISR,7.02,7.1,7.18,7.23,7.17,7.71,7.9
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Italy,ITA,8.86,8.73,8.68,8.68,8.66,9.63,9.38
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Jamaica,JAM,5.62470436,5.70102215,6.14859295,5.96798849,6.09761,6.62580395,7.18521214
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,10.75,10.66,10.66,10.74,10.97,11,10.82
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Jordan,JOR,7.4609561,6.97644138,7.10953665,6.98295021,6.99518251,7.03820276,7.28875065
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kazakhstan,KAZ,3.04,3.42,3.05,2.82,2.79,3.75,3.92
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kenya,KEN,4.76439571,4.75429106,3.98597503,4.09903383,4.36874676,4.47622252,4.54763126
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kiribati,KIR,8.11,10.47,11.46,12.97,12.59,16.99,14.81
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Dem. People's Rep.",PRK,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Korea, Rep.",KOR,6.58926058,6.87049913,7.04742336,7.49119806,8.17479515,8.3497715,9.33145523
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kosovo,XKX,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kuwait,KWT,4.21497965,4.73096323,4.65326786,5.18862629,5.35958719,6.34761143,5.78120756
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Kyrgyz Republic,KGZ,7.15,6.41,6.19,5.01,4.49,5.26,5.44
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,2.45366454,2.36087489,2.52606821,2.24630332,2.60312223,2.05965185,2.74392009
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Late-demographic dividend,LTE,5.459331382,5.544397034,5.643109191,5.623444341,5.780103778,6.138142192,5.968839314
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean,LCN,7.845102511,7.890686604,8.091044764,7.968317899,7.979048773,8.604944917,8.303151826
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & Caribbean (excluding high income),LAC,7.84618678,7.870123124,8.051986084,7.897880357,7.892297961,8.511465926,8.214073214
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,7.763804352,7.813816143,8.033076188,7.914821126,7.922105759,8.511082072,8.305773307
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Latvia,LVA,5.65,6.13,5.97,6.19,6.61,7.25,9.04
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Least developed countries: UN classification,LDC,4.209809179,4.134742951,3.992614789,3.835008081,3.825782921,3.921362555,4.013506725
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lebanon,LBN,7.41596651,7.92386055,7.80396605,8.07092381,8.6936779,7.57650805,10.06154442
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lesotho,LSO,9.2965641,9.24261093,10.57480335,11.114995,11.94662285,10.27927017,10.21370411
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liberia,LBR,10.46927643,9.90062618,10.47271252,10.35222721,8.42100334,16.96832657,16.6163311
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Libya,LBY,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Liechtenstein,LIE,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lithuania,LTU,6.49,6.64,6.48,6.53,6.99,7.48,7.82
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Low & middle income,LMY,5.241230564,5.25499622,5.25996066,5.198749618,5.254745646,5.532352721,5.435479311
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Low income,LIC,5.324940578,5.488469942,5.32780778,4.993664179,4.937728941,5.276519606,5.252879299
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Lower middle income,LMC,3.913116866,3.874265524,3.568887205,3.471043582,3.537373179,3.799148649,3.917814057
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Luxembourg,LUX,5.08,5.07,5.14,5.28,5.47,5.74,5.67
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Macao SAR, China",MAC,,,,,,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Madagascar,MDG,5.0062542,5.33248854,4.80225992,4.22846937,3.10129309,3.72316122,3.5045228
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malawi,MWI,6.62879086,7.72703791,7.58438921,6.87366676,7.15010023,7.0088768,7.41194487
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,3.82201481,3.70085335,3.71472311,3.75944281,3.83991051,4.08395433,4.38380671
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Maldives,MDV,8.73,10.31,9.27,7.44,7.66,11.35,10.03
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mali,MLI,4.11143351,3.77377558,3.67425752,3.73249912,3.82943797,3.47597885,4.47341442
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malta,MLT,8.9,8.97,8.73,8.55,9.15,10.74,10.58
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Marshall Islands,MHL,15.33984375,15.73866177,14.38502884,15.26284122,14.82552052,12.58777618,12.54863834
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritania,MRT,3.67363763,3.09630585,3.31550789,3.17838526,3.30148649,3.38773394,4.12218571
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mauritius,MUS,5.55042362,5.54289532,5.61408615,5.63982916,6.02485895,6.48210192,6.39258909
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mexico,MEX,5.72277355,5.55345821,5.45759058,5.38345814,5.44796371,6.22204065,6.07868719
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Micronesia, Fed. Sts.",FSM,12.46286297,13.13244915,12.1958313,11.65710258,11.2604599,10.84531593,10.96059132
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa,MEA,5.526360406,5.872899917,5.802620879,5.424239301,5.352068046,6.040420826,5.763296696
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa (excluding high income),MNA,5.985790345,6.370788242,6.35392112,5.925074863,5.415550875,5.431573493,5.467619594
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,5.985790345,6.370788242,6.35392112,5.925074863,5.415550875,5.431573493,5.467619594
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Middle income,MIC,5.240018751,5.252118115,5.259151793,5.201161005,5.258620357,5.535648082,5.437627642
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Moldova,MDA,8.56,7.54,7.13,6.71,6.5,7,7.75
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Monaco,MCO,4.31544638,4.12037039,4.15852404,4.03953457,3.87725186,4.27983093,3.68486166
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mongolia,MNG,4.23154545,4.58008575,4.33954334,4.53449297,4.49497843,4.6662488,6.911304
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Montenegro,MNE,9.02,8.63,7.98,8.34,8.33,11.42,10.55
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Morocco,MAR,5.10435581,5.09203386,4.98920393,4.94516659,4.99129868,5.83834505,5.73834944
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Mozambique,MOZ,6.71663332,7.28134441,7.83763266,8.0889616,7.95272589,7.56957626,9.05218315
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Myanmar,MMR,5.48,5.11,5.08,4.9,4.71,4.62,5.63
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Namibia,NAM,9.98109627,9.3223238,8.72573948,8.31648731,8.43033981,8.90162563,9.38092136
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nauru,NRU,14.00562382,10.99060059,11.4886446,11.10239792,11.55542469,12.68183994,13.06414223
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Nepal,NPL,5.47,5.42,4.72,4.53,4.45,5.21,5.42
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Netherlands,NLD,10.32,10.06,10.11,10.02,10.14,11.21,11.29
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,New Caledonia,NCL,,,,,,,
